"movie_id","movie_title","original_language","overview","production_countries","year_released"
"vampire-settle-on-police-camp","Vampire Settle On Police Camp","zh","Police School is haunted. Chan Sir and Tong Sir in order to drive out the ghosts, so they find out nine police, who is the dragon-year born, to practice an array. Because of arrogant of Inspector Li Lan Yuk, makes others with bad feeling. They decide to play a trick on her and have lots of joke. They know the goal of training is to seize the ghosts, they all left the training. But the camp is already controlled by the ghosts, causes they stay here to help Chan to seize the ghosts. In Lunar night, on July 14, Chan unable to seize the ghosts, Madam Lee takes out the family secrets and turns into a Taoist priestess to fight with the ghosts. At last, Lee and master drive out all the ghosts","[""Hong Kong""]","1990"
"lizard-2020","Lizard","en","An 8-year-old girl with an ability to sense danger gets ejected from Sunday school service. She unwittingly witnesses the underbelly in and around a Mega Church in Lagos.","[""United Kingdom""]","2020"
"ed-sheeran-jumpers-for-goalposts","Ed Sheeran: Jumpers for Goalposts","en","Jumpers for Goalposts brings together Ed’s captivating performances from the biggest shows of his career at Wembley Stadium in July 2015, where he wows the 80,000 strong crowd with his biggest hits to date, including “The A Team”, “Sing” and “Thinking Out Loud” – and there’s even a surprise duet from Sir Elton John.  As well as his breath-taking onstage performance, Jumpers for Goalposts is intercut with the story of Ed’s triumphant road to Wembley, presenting a revealing and personal glimpse into life backstage and on the road, along with an honest and intimate reflection by Ed – and those closest to him – on just how far he has come.","[""United Kingdom""]","2015"
"lupin-the-third-voyage-to-danger","Lupin the Third: Voyage to Danger","ja","After Inspector Zenigata is reassigned from the Lupin case and grows despondent, master thief Lupin the Third decides to help him get his old job back, teaming up with the old man to destroy the international weapon smugglers Shot Shell. Together with Lupin's long-time partners in crime, they steal a nuclear Russian submarine and enlist the help of a nuclear physicist named Karen, who keeps suspiciously eyeing Lupin's partner Jigen. If that weren't enough, Zenigata's Interpol successor is an assassin who aims to pick off the Lupin gang one by one.","[""Japan""]","1993"
"end-of-the-road-how-money-became-worthless","End of the Road: How Money Became Worthless","en","Wall Street is being occupied. Europe is collapsing in on itself. Around the world, people are consumed by fear and anger, and one question is on everyone's lips: Is the financial crisis over, or are we headed towards economic disaster?  documentary that chronicles the global financial collapse. Told in an entertaining and easy to follow style, the film tells the story of how the world came to be in such a state, from the seeds sown after WW2, to the current troubles facing us today, and to the possible future that may await us all. Also asks influential members of the finance and investment communities for their predictions on the world's financial future.","[]","2012"
"west-of-memphis","West of Memphis","en","The documentary tells the hitherto unknown story behind an extraordinary and desperate fight to bring the truth to light. Told and made by those who lived it, the filmmakers' unprecedented access to the inner workings of the defense, allows the film to show the investigation, research and appeals process in a way that has never been seen before; revealing shocking and disturbing new information about a case that still haunts the Unitedstatian South.","[""United States of America"",""New Zealand""]","2012"
"under-the-carp-banner","Under the Carp Banner","ja","One of the notable directors of Japan's ""pink films,"" Kazuhiro Sano helms and stars in this erotic thriller in which an isolated resort lures a host of individuals looking to fulfill their desires and sexual fantasies. Packed with extras, the video includes an interview with Sano, bios and filmographies of the cast and crew and a feature-length commentary with writer Jasper Sharp.","[""Japan""]","1992"
"chinta","Chinta","en","A rebellion movement outbroke in a country causing almost all of its people being murdered. Among those who survived was a loyal slave who saved the princess. They both manage to runaway to a fisherman's village. There he brought up the princess as if it was his own daughter.  Few years passed by the rebellious King had passed away and was succeeded by his Prince. As the new king made his normal visits to the villagers his eyes was attracted to the young Princess who has grown up. The King and the princess have fallen in love deeply and was so happy on how things are going on with their relationship. But, will she ever take her rightful place on the throne over her country?","[""Singapore""]","1948"
"the-illustrated-mum","The Illustrated Mum","en","Two sisters cope with the unpredictable behaviour of their depressed, alcoholic mother. Based on the novel by Jacqueline Wilson.","[""United Kingdom""]","2003"
"mr-skeffington-a-picture-of-strength","Mr. Skeffington: A Picture of Strength","en","Produced by Warner Brothers as one of the extras to the DVD release of MR. SKEFFINGTON (1944), this short documentary has a variety of talking heads describing the origins and impact of the film on its original release, as well as explaining how and why its appeal has lasted so long.","[""United States of America""]","2005"
"there-is-a-new-world-somewhere","There Is a New World Somewhere","en","A coming of age story about self-revelation.  Sylvia, a struggling artist in New York, is fired from her job and flees back to her Texas hometown for a friend’s wedding. At the pre-wedding party, she meets an enigmatic stranger, Esteban. On the eve of the big day, he dares her to join him on a road trip through the jewel cities of the Deep South.","[]","2015"
"no-escape-2008","No Escape","en","During WWII two sisters have stolen some emeralds from the lesbian Nazi SS officer (Rena Riffel) and now are on the run. One gets captured by her and gets tortured with electrified Freddy Krueger glove into revealing the location of the gems. The other escapes to her cousin's house, but her cousin who isn't that pleased with her appearance and blackmails the girl into becoming her personal slave in return for not turning her over to the SS.","[""Czech Republic""]","2008"
"13","13","en","A naive young man assumes a dead man's identity and finds himself embroiled in an underground world of power, violence, and chance where men gamble behind closed doors on the lives of other men.","[""United States of America""]","2010"
"the-zoo-1962","The Zoo","nl","A perfect, fast and hilarious montage. Using images from Artis (Amsterdam Zoo), Bert Haanstra shows that a couple of similarities can be discovered between human and animal. Particularly the manner in which human and ape are confronted with each other, is significant. The images speak for themselves, human voices or commentary is absent. The ironic music of Pim Jacobs does add an extra dimension to the whole. With regards to human and animal Haanstra limits himself for the time being to this short film, recorded with a hidden camera. Later on, in several big films, he would return to this subject.","[""Netherlands""]","1962"
